Date,Rating,Review,Pros,Cons,Advices,,
26 juil. 2022,4,OECD is a good employer only if you are hired as official,"You have great working conditions when you are hired as an official. However, contracts usually last 1-2 years until ""conversion"". Conversion is an assessment process carried out after 5 years of being official. Once you are ""converted"", you finally get a CDI. Benefits are even greater if you are ex-pat","Working conditions for non-officials (consultants, external consultants and interns) are quite bad. Many salaries are under the french labour market and contracts are short (6 months, one year, maximum 2 years)",N/A,,
15 févr. 2023,3,Trainee,Lot of opportunities and lessons for a beginner,"Hierarchy, generalist rather than a specialist",N/A,,
11 oct. 2022,2,Don't work here,"Pros: 
Decent salary for France
salary is tax free
great benefits, great healthcare","Cons: 
Horrible work culture
nothing every gets done 
pointless meetings
too many middle managers
pointless objects and HR harassment 
the inner workings of the organisation are too political
the organisation exists just to exist
""better policies for better lives"" is a joke
employee benefits keep getting slashed (but not for the higher-ups)",N/A,,
19 janv. 2023,4,"Bonne organisation, peu de stabilité","Bon salaire, collègues intéressants, horaires corrects.",Manque de stabilité sur le long terme.,N/A,,
10 janv. 2023,3,Bonne expérience mais ...,multiculturel -- environnement riche -- environnement de qualité --,situation très précaire en début de carrière,N/A,,
7 sept. 2022,4,Multi-cultural experience,"Multi-cultural, working with highly skilled, intelligent staff, feeling that our work makes a positive difference in the world, nice offices, decent salary.",Very opaque HR policies, no long term contracts, contract conversion not frequent nor merit-based,PDG pas à jour - C'est aujourd'hui Mathias Cormann
19 août 2022,2,"Bad management, big turnover","Extremely nice people, well educated, multi-cultural environment, good salaries, beautiful and comfortable offices","No real HR inside the departments, nobody will take care of conflicts or internal communication issues, very bad management, lack of leadership and direction, a lot of people constantly on sick leave.",N/A,,
24 oct. 2022,5,Great place to work,Great place to work in Paris,Hard to get the job,N/A,,
23 août 2022,5,Economist,"Challenging and motivating environment, professional, friendly and respectful. Great place to work.","The city of Paris (overly priced everything, messy, dirty, bad service everywhere, no decent infrastructure, over populated).",N/A,,
4 oct. 2022,4,Nice,Nice international environment and great work content.,good place overall but some times short/uncertain contracts,`,,
3 oct. 2022,4,Fuiur,"Bonne ambiance, Bonne équipe , Chaleureux , conviviale , patient","Trop long, Physique, pas à l’écoute",N/A,,
9 sept. 2022,4,Excellente expérience,"Environnement international
Grande expertise des employés
Constant apprentissage
Portefeuille ambitieux et interessant
Equipe motivees, esprit d’équipe",L’organisation pourrait bénéficier d’une plus grande coordination entre les différents directorats,N/A,,
4 sept. 2022,4,Pas facile tous les jours mais on apprend beaucoup,"Bonne équipe, bons avantages, possibilités de télétravailler",Peu de possibilités d'évolution. Managers peu motivants.,N/A,,
8 sept. 2022,4,,"Environnement estimulante, mutuelle, et des opportunités de training.",Contrats à durée très courte (environ 6 mois),N/A,,
15 août 2022,4,Excelente experience,"Bons bénéfices, excellente expérience pour avancer sa carrière","Bureaucratique, politique et il peut y avoir des personnalités difficiles et compétitives",N/A,,
19 nov. 2022,1,Good,Heavy networking. Pushing your future career.,Administrative tasks. Not many things to do.,N/A,,
7 août 2022,3,Human ressources assistant,"The salary for official staff is quite good
Flexibility 
International environnement","The type of contracts 
Stress",N/A,,
9 juin 2022,3,Interesting environment but improvement needed,"+International environment
+Possibility to interact with experts from various fields
+Tax free salaries
+Benefits","-Old structure, HR policies still from 1960's, reform difficult
-The contractual model causes uncertainty and stress, affects the general atmosphere
-Lot of management issues, many incompetent team managers around. Depends on each directorate and team of course.
-Too much work, pressure to meet tight deadlines","More effort needed on selection/training of managers, and wellbeing of current staff.",,
22 juin 2021,5,International et multiculturel,"Culture véritablement internationale, multiculturelle, nombreuses personnes brillantes et intéressantes. Volumes de travail parfois élevé mais respect d'horaires permettant équilibre de vie.","Avant 5 années, contrats à durée fixe (1,2,3 ans) renouvelables. La ""conversion"" en indéterminé après 5 ans est loin d'être automatique, ce qui peut donner quelque pression ou sentiment précaire du point de vue français par exemple, comparé au marché local.",N/A,,
4 juil. 2019,1,Attention Danger,"Travail intéressant, en anglais, brassage des cultures","Aucune politique RH, pas de protection des salariés, outils informatiques (au niveau budget en particulier) dépassés, charge de travail énorme, pas de perspective d'évolution de carrière ou de salaire, pas de management, organisation très politique et népotique, statuts salariés remis en question....","Lancer une vraie politique RH, mettre en pratique les conseils donnés aux pays membres, faire entrer l'organisation dans le 21e siècle concernant les conditions de travail, le respect du salarié, l'équilibre travail-vie perso, les outils informatiques, et réaliser des audits réguliers...",,
9 févr. 2016,4,L'une de mes meilleures expériences en stage,"Très international, beaux locaux, équipes diversifiées et professionnelles. Beaucoup d'activités ad hoc et possibilité de rencontrer beaucoup de personnes intéressantes. Beaucoup de grandes personnalités traversent parfois les couloirs !",Les stagiaires sont bien souvent payés au strict minimum. Cela pourrait être discriminant pour les étudiants étrangers n'ayant pas assez de moyen pour louer un logement à Paris même.,N/A,,
20 juin 2017,5,Excellent,"Tres enrichissant, beaucoup de personne motives et cutives au sein de l'organisation. Un service irreprochable.",Un manque d'energie de temps en temps. Les employes ont l'air endormits par les hauts salaires et le manque d'innovation et de constante creativite.,"Motives la population du lieux, plus investissement en politique afin d'insciter les gens a s'interesse et a s'engager.",,
3 oct. 2018,2,ok pour une première expérience mais il faut pas y rester pour très longtemps,"Salaire, salaire, salaire, salaire, salaire, salaire",Organisation très corrompue et pas du tout méritocratique, bcp de copinage, tâches répétitives et ambiance pas très intellectuellement stimulante,Il est temps de partir!
17 oct. 2018,4,L'art de l'influence,"Salaire confortable, équipes plus ou moins diversifiées selon les projets et les directions, flexibilité du temps de travail",Une politique managériale qui se cherche encore et une grande séparation (physique et comportementale) entre le personnel junior et le personnel senior,N/A,,
19 mars 2015,3,"Environnement stimulant, évolution difficile","Environnement multiculturel, analystes pointus dans leur domaine, possibilité d'assister à des conférences de haut niveau.","Grandes différences de rémunération et de durée de contrat entre les consultants et le staff permanent, évolution vers des postes permanents très limitée.",N/A,,
5 mai 2018,4,Conditions de travail,Cadre de travail adéquat et très stimulant.,Difficultés à proposer des CDI aux employés,Mobiliser des ressources financières durables pour mieux retenir les employés.,,
11 sept. 2019,4,Globalement positif,"Très bon salaire, collègues sympas et intéressants.","Contrats courts, difficulté de progresser.","Mettre en place un meilleur système pour progresser dans sa carrière, sous risque de voir beaucoup de personnes quitter l'OCDE pour des emplois plus stables.",,
29 nov. 2021,1,"Do what I say, not what I do","Salaires autrefois généreux, mais moins aujourd'hui","cette institution ne veut pas garder les gens plus de 5 ans, au risque de se créer des obligation de long-terme (droit à pension). Elle épuisera vos compétences, vous fera miroiter un avenir LT, et vous jetera dans les pires moments (en cours de congé-maladie, pendant un congé parental...).","soyez avec l'OCDE, aussi cynique que l'organisation est avec vous...",,
19 juin 2020,4,Une bureaucratie mais une formidable organisation,"Une ambiance jeune, dynamique, internationale. D'excellentes conditions de travail. Des bons salaires. Des sujets intéressants.","Des processus administratifs complexes, un système de ressources humaines en révision car problématique. Souvent stressant.",N/A,,
6 mars 2019,4,Intellectuellement stimulant,"Entourage professionnel très compétent et qualifié
Environnement de travail agréable
Séminaires internationaux","Conditions contractuelles pour les consultants 
Impact de l'organisation sur le développement international questionnable
Usine à rapports",N/A,,
28 avr. 2018,2,beaucoup trop de précarité,Les rémunérations sont relativement élevées,"50% du personnel est en CDD, très fort niveau de turn-over et management à court-terme",N/A,,
23 nov. 2017,2,it used to be...,salaire et lieu de travail,cette institution n'est pas gérée et l'arbitraire y règne...,appliquez ce que vous prêchez.,,
4 juin 2019,5,Très bonne expérience,"Rémunération attractive (non soumise à l'impôt sur le revenu)
Organisation (et donc équipes) internationale
Cadre & environnement",Une certaine lenteur dans l'évolution de l'organisation,None.,,
23 nov. 2019,3,Cage doree mais pas de work-life balance,Le salaires non soumise aux impots (si on est embauche en tant qu’officelle),"surcharge de travail, non respet de ton temps, concurrence entre employee",N/A,,
3 févr. 2020,5,Plaque tournante de dynamisme et de meilleures politiques,"Milieu multi-culturel, travailler en plusieurs langues, ouverture sur le monde, sujets variés et passionnants","Difficulté à obtenir un contrat stable, renouvellements de contrats courts trop nombreux",N/A,,
27 oct. 2015,3,Une prison dorée,Salaire exonéré d'impot sur le revenu,"Un manque d'interet certain des divisions de support (RH, IT, etc...)",Le salaire n'est pas le seul facteur de motivation,,
12 juil. 2017,3,Bien,Équipe multiculturelle et rencontres passionnantes,Gestion RH et manque de leadership,N/A,,
17 sept. 2019,5,Très bon endroit,"Ambiance internationale, salaire ok (surtout en début de carrière), possibilité de travailler sur des sujets très divers.","Parfois ça bouge lentement, proche des méthodes de travail d'administrations publiques",N/A,,
18 janv. 2022,5,Bonne organisation où lancer une carrière,"Ouverture à l'internationale, prestige et développement intellectuel",instabilité d'emploi (pas de CDI possible avant au minimum 5 années de service en tant que fonctionnaire international),N/A,,
19 juin 2020,4,Une expérience riche,"Salaire non imposable sur le revenu
Environnement multiculturel et international
Beau cadre (château de la Muette)",Pesanteur inhérente à une Organisation de ce type,N/A,,
26 juin 2022,4,Salaire,"Quelques avantages intéressants. Environnement international, stimulant sur le plan intellectuel.","Peu de possibilités d'évolution. 
Tout dépend de connaissance de bonnes personnes et cercles sociales.",N/A,,
17 déc. 2016,5,Top de la recherche,Dynamisme intellectuel et rencontres passionnantes.,Peu de perspectives d'évolution pour les jeunes diplômés.,Recruter plus de jeunes diplômés.,,
17 août 2020,3,"Belle organisation, ambiance mitigée",International salaire pas d’impôts sur le revenu sujets passionnants,"Beaucoup de collaborateurs frustrés qui ne partent pas car nombreux avantages, ambiance mitigée",N/A,,
30 mars 2022,3,Avis sur l'OCDE,Une culture internationale et une organisation qui traite des sujets importants de politique publique,Beaucoup de bureaucratie et un certain nombre de personne pas très motivées,N/A,,
29 mai 2019,5,Expérience très positive,"Travail intéressant et stimulant, ambiance internationale, bonne rémunération",Parfois un peu stressant mais comme dans toutes les grandes organisations internationales,N/A,,
24 juin 2019,5,"Bon salaire, bonne ambiance, friendly","salaire, pas d’impot sur le revenu, flexibilité, opportunité d’evoluer",tres « fonctionnaire » puisque c’est une organisation internationale.,N/A,,
28 avr. 2021,4,Une opportunité professionelle,"- Travail difficile 
- Excellent environnement professionelle 
- Opportunité de networking de haut niveau","- Work life balance
- Précarité des contrats",N/A,,
5 sept. 2019,5,Excellente expérience,"Une ambiance multiculturelle, des équipes ultra qualifiées, des projets exaltants",Un environnement trés conccurentiel et un peu trop feutré,N/A,,
14 mai 2022,4,OCDE assistant,"Pay non taxed, good health insurance",Little growth within the assistant brakcet,N/A,,
19 févr. 2021,5,Project manager,"Intérêt intellectuel, diversité des équipes, qualité des locaux, rémunération","Clientélisme, culture très académique et moins d'un do tank.",N/A,,
23 juin 2021,5,Excellente organisation pour développer les talents,Salaires très attractifs et cadre de travail agréable,Pression très importante pour les administrateurs,N/A,,
16 mars 2022,5,Bon cadre de travail,"Environnement de travail dynamique, locaux agréables",Précarité des contrats de consultant,N/A,,
4 avr. 2022,4,très bonnes opportunités,"Rémunération et avantages sociaux, prestige, accès aux réseaux de qualité","Aléas politiques, forte charge de travail.",N/A,,
21 juin 2021,3,Politique des contrats,Organisation internationale multiculturelle très agréable,Politique de contrats de type CDD,Réviser la politique de contrats,,
15 nov. 2021,4,bien,travailler au sein d'une organisation internationale,pas d'avantages ou aides de l'état francais,N/A,,
29 sept. 2021,5,Good place to work,"Flexibility, working environment, International culture and benefits",Sometimes unstable contracts and workload,N/A,,
16 juil. 2022,4,2 weeks,The working environment is great, interesting topics of research,The contracts' lengths are short,N/A,
20 juin 2019,5,Excellent,Très bonne ambiance et bonne rémunération,Rigidité administrative et difficulté des procédures bureaucratiques,N/A,,
1 déc. 2019,3,Conditions,Les sujets de travail et les gens.,"Les heures de travail, competition",N/A,,
30 sept. 2021,4,bonne expérience,"environnement international enrichissant, sujets captivants",durée des contrats parfois inférieurs à 6 mois,N/A,,
6 janv. 2021,3,consultant,possibilité de teletravail et deplacements frequents,lenteur administrative et un fonctionnement tres horizontal,N/A,,
28 févr. 2021,5,Grande visibilité,"Apprentissage, experience, international, developemnt, statistique","Depend du departement, trop analytique",N/A,,
19 oct. 2021,5,Enrichissant,"Réseau, compétences, ambiance, international, impressionnant","Précarité, faible salaire, statut, intense",N/A,,
29 oct. 2018,4,Intéressant,Bonne ambiance et travail intéressant,Je n'ai pas trouve d’inconvénients.,N/A,,
1 juin 2022,2,avis,Flexibility Team-working Topics Diversity Life-balance,Bad management Unfinished missions Long processes,N/A,,
8 oct. 2017,5,Analyste,plusieurs avantages,Pas d'inconvénients,N/A,,
24 nov. 2018,1,To avoid,"Salary, multicultural organization, great city to work","Terrible management
 lacking basic management skills, lack of transparency, recruitment of friends and family, promotion of friends. Some officials have been there for over 25 years, lack of motivation and engagement. Terrible atmosphere. 
The moral harassment from the people who is over 15-25 years on the same position. Despite informing HR, Managemant, Staff association, the work medecine, nobody took into cosideration my problem because the Management have been covering his friends.
Everybody was saying me that unfortenately I was working in the purely French team, the reason of the moral harassment as I am not French.","Please make the audit to check this kind of problems , please stop the moral harassment .",,
5 nov. 2020,3,Coordinateur,ambiance motivante et personnel qualifie,"peu de mobilite possible, sauf si vous avez des ""contacts"" autrement dit, par piston. 
contrats en CDD poussant a la precarite pour les jeunes diplomes",N/A,,
20 août 2018,4,Environment stimulant,Environment international et trés stimulant,pas beaucoup de job offers pour mon secteur,N/A,,
